id,indirizzo,latitudine,longitudine,prezzo_benzina,prezzo_diesel
42575,STATALE 17 41020,44.230832336009804,10.651629786846911,1.869,1.839
30061,MARTIRI ARTIOLI 360 41018,44.53318809016426,11.034271270036697,1.839,1.809
48569,VIA BOSCHETTI 114 41018,44.55746753081973,11.041579349702841,1.829,1.799
4991,"VIA VIA EMILIA KM.138+880 S.S. 9 41018, SAN CESARIO SUL PANARO (MO)  41018",44.59874541646544,11.029628366231918,1.899,1.879
8954,VIA LODA 166 41018,44.570845491847805,11.038323192451458,1.838,1.798
46133,strada statale 468 km55 lato sx  41038,44.835769000123,11.136553000123,1.87063671875,1.8427372549019605
52639,PEROSSARO 1416 41038,44.8334148,11.120923,1.884,1.854
56785,STATALE 468 KM55/739 41038,44.8316226,11.1496084,1.889,1.859
11249,VIA FURLANA 70 41038,44.83576063463881,11.136547052114906,1.889,1.859
45045,Via Bergamini  427 41038,44.838603000123,11.146149000123,1.859,1.819
48764,MAZZA 4 41039,44.89560965021237,10.990407330059417,1.849,1.819
48567,VIA TANFERRI 1 41039,44.90892353859103,11.000190317790967,1.829,1.799
49075,VIA GIACOMO MATTEOTTI  50 41039,44.889284436002,10.994449189667,1.844,1.834
39052,CANALETTO 56/A 41030,44.79808298290204,11.02611804907383,1.859,1.819
29308,VIA CANALETTO 71 41030,44.78926538728399,11.02302138475352,1.879,1.859
49212,Via Giuseppe Mazzini  140 41049,44.53975979050561,10.787704899462693,1.849,1.819
51458,Via DELLE RADICI IN PIANO  41049,44.54772579948091,10.787287093283105,1.904,1.879
49744,Via Cavallotti 210 ,44.53553653900703,10.77811581302835,1.904,1.849
35723,RADICI IN MONTE 271 41049,44.54791857089854,10.772634845299535,1.829,1.809
34928,via mazzini  220 41049,44.53864136787428,10.791595727205276,1.909,1.889
57885,MONTANARA 67 41049,44.53218785827042,10.775990635156631,1.929,1.889
40619,VIA MONTANARA 67 41049,44.52949661337785,10.774392038583755,1.809,1.769
5064,VIA ANCORA 500/502 41049,44.58503684991336,10.789778530597687,1.904,1.859
11296,VIA S.MICHELE 258 41049,44.51007548477935,10.746886181545278,1.879,1.869
57939,Via Montanara 40  41049,44.532041778966494,10.775978565216064,1.839,1.819
6528,RADICI IN PIANO SNC 41049,44.55965247510212,10.801891386508942,1.839,1.819
35756,VIA CIRCONVALLAZIONE NORD EST 55 41049,44.545614881581784,10.796636939048767,1.849,1.829
15555,VIA PIA 174 41049,44.545479037760934,10.780199285913795,1.904,1.889
46426,Via Claudia 1223 41056,44.497364424997436,11.05336215545276,1.869,1.849
48570,VIA CLAUDIA 6010 41056,44.466527386169226,11.01576697668646,1.839,1.809
52313,VIA CLAUDIA  3721 41056,44.48072078841557,11.034386572788266,1.829,1.799
48094,VIA CLAUDIA 4339 41056,44.47606811671721,11.031393329177423,1.899,1.879
6529,S.S.569 KM. 17+424 SNC 41056,44.47019440856536,11.010363399982452,1.819,1.799
54991,NUOVA ESTENSE 4060 41028,44.42234029039566,10.789689855918887,1.817,1.787
4877,"Statale 12 dell'Abetone e del Brennero, Km. 156+510, dir. ABETONE - 41028",44.471739420977826,10.845198333263397,1.819,1.789
49181,VIA NUOVA ESTENSE 9555 41028,44.46236377144721,10.834515689748017,1.87063671875,1.8427372549019605
10642,VIA PER MARANO   102 41028,44.417732778173004,10.805169812445001,1.848,1.819
30520,VIA GIARDINI LOC.FONDACCIA 1695 41028,44.41324390388337,10.796175599098206,1.889,1.862
16132,CAMPODOLIO 159/1 41028,44.449866567304305,10.762670114636421,1.87063671875,1.8427372549019605
11115,PIAZZA PASSERINI 34 41029,44.23000009462964,10.767889155768216,1.929,1.919
10718,via circonvallazione 29/33 41029,44.23052400547664,10.76900415122509,1.929,1.919
49546,CARPI RAVARINO 1114 LOC. LIMIDI  41019,44.7574868983806,10.943812403744396,1.899,1.839
49190,VIA ROMA 87 41019,44.73664917962752,10.92404012901509,1.889,1.859
46253,"VIA ROMA 51 41019, SOLIERA (MO) 51 41019",44.73730883490803,10.924317884306447,1.889,1.859
34027,S.S. ROMANA 413 KM 56+068  41019,44.72808321118727,10.899197906255722,1.869,1.839
6527,VIA RAVARINO PER CARPI 141 41019,44.76752391699846,10.911781610836783,1.849,1.819
55287,"VIA VIA VIGNOLESE 1993 41057, SPILAMBERTO (MO) 1993 41057",44.52255679975331,11.020241814002993,1.835,1.805
55651,"VIA VIA MODENESE  S.S. 623 KM10+530, 1493 41057, SPILAMBERTO (MO) 1493 41057",44.544962142743834,11.010377452737412,1.835,1.805
11368,VIA PARADOSSO 34 41057,44.53437491154394,11.023599204893458,1.839,1.809
38443,"VIA VIA MODENESE 4406 41057, SPILAMBERTO (MO) 4406 41057",44.56726916106125,10.989131033420563,1.869,1.859
46479,SAN VITO - Via Medicine 608 41057,44.56464339752259,10.975198160413129,1.849,1.809
47257,VIA SAN VITO 329 41057,44.540410845012055,11.011912736452691,1.859,1.849
36212,Via Vignolese 864 41057,44.52634482935304,11.02287901411637,1.845,1.815
5651,PER SPILAMBERTO 1800 41058,44.50231082827527,11.021439304299179,1.839,1.819
17811,VIA PER SPILAMBERTO 1094 41058,44.49647625040083,11.018497198820114,1.889,1.869
12344,VIA PER SPILAMBERTO 1015 41058,44.49500762094637,11.018201939286769,1.909,1.884
12515,Via per Sassuolo 583 41058,44.48613501756215,11.004510396356206,1.876,1.826
11090,VIA FRIGNANESE  41058,44.475625505285876,10.996854454278946,1.879,1.849
37182,VIA CIRCONVALLAZIONE OVEST 4 41058,44.47545995386409,10.988183543086052,1.909,1.884
11722,VIA CIRCONVALLAZIONE OVEST S/N 41058,44.481643410674046,10.996297895908356,1.899,1.884
54386,Via dei Martiri 255 41059,44.37939155680334,11.004677838023893,1.876,1.826
32880,VIA MAURO TESI 484 41059,44.34776807501083,10.98817992572549,1.869,1.849
11723,PIAZZALE RONCHI 15 41059,44.34465492285977,10.99774157423974,1.859,1.839
